title,price_in_aed,kilometers,body_condition,mechanical_condition,seller_type,body_type,no_of_cylinders,transmission_type,regional_specs,horsepower,fuel_type,steering_side,year,color,emirate,motors_trim,company,model,date_posted
2019 BMW M5 Competition GCC,"600,000",16000,Perfect inside and out,Perfect inside and out,Owner,Sedan,8,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,2019,Silver, Dubai,M5 Competition,bmw,m5,03/04/2022
Inspected Car | 2009 GMC Yukon Denali 6.2L | GCC Specifications | Ref#11882,"24,500",193752,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2009,Black, Abu Dhabi,Denali,gmc,yukon,20/04/2022
lexus ls-series,"23,000",105000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2004,Black, Sharjah,1/2 Ultra,lexus,ls-series,12/05/2022
Convertible Camaro,"62,000",150950,Perfect inside and out,Perfect inside and out,Owner,Soft Top Convertible,6,Automatic Transmission,North American Specs,Unknown,Diesel,Left Hand Side,2015,Yellow, Dubai,RS,chevrolet,camaro,23/03/2022
"2016 RENAULT CAPTUR WITH FULL SHOWROOM SERVICR HISTORY , GCC SPEC ACCIDENT FREE SINGLE OWNER","35,500",70000,Perfect inside and out,Perfect inside and out,Owner,Hatchback,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Blue, Dubai,LE,renault,captur,03/05/2022
2014 SPORT UTILITY 4-DR PEARLWHITE LEXUS GX460,"91,000",218000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,White, Dubai,Premium,lexus,gx-series,12/05/2022
"MERCEDES G63 AMG, 2022, FULL OPTIONS, CARBON, ZERO KM","1,149,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,500 - 600 HP,Gasoline,Left Hand Side,,Grey, Dubai,G 63 AMG,mercedes-benz,g-class,27/03/2022
lexus ls-series,"34,000",89000,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2004,Black, Abu Dhabi,3/4 Ultra,lexus,ls-series,27/12/2021
AED 1173 PM | 0% DP | 2.5L SE GCC WARRANTY CRUISE CONTROL,"59,900",138117,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Black, Dubai,SE,toyota,camry,13/02/2022
"Cash: 159,000 AED / Cash / Porsche 911 Carrera","159,000",97500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2009,White, Dubai,Carrera,porsche,carrera,24/03/2022
X5 / BMW / GCC /,"89,000",70000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,White, Dubai,Xdrive50i,bmw,x5,15/03/2022
2022 I BRAND NEW I MERCEDES-BENZ I G63 AMG I DOUBLE NIGHT I FULLY LOADED I EXPORT PRICE : 980000AED,"980,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,European Specs,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,G 63 AMG,mercedes-benz,g-class,13/04/2022
Inspected Car | 2014 Dodge Durango Limited 3.6L | Full Dodge Service History | GCC specs | Ref#13206,"58,000",133919,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2014,White, Dubai,Limited,dodge,durango,05/05/2022
Land Rover Defender First Edition 2021,"459,999",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Brown, Dubai,Other,land-rover,defender,11/05/2022
Amazing Land Cruiser 2018 with Engine Lexus 5.7 V8,"205,000",116242,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2018,Grey, Dubai,GXR,toyota,land-cruiser,10/05/2022
MERCEDES GLC300 2019 AMG63 KIT IN GREAT CONDITION,"135,000",66000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2019,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,20/03/2022
Mitsubishi Pajero 2015-GCC Accident Free First Owner Bank Finance Available on Zero Downpayment,"41,500",91000,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2015,Grey, Dubai,GLS,mitsubishi,pajero,01/04/2022
S350 2013 with Low Mialeg in Good condition,"90,000",130000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,White, Dubai,S 350,mercedes-benz,s-class,10/05/2022
infiniti q70,"65,000",93000,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2016,Brown, Sharjah,Luxury,infiniti,q70,04/05/2022
2022 BRAND NEW LAMBORGHINI HURACAN EVO SPIDER | AWD | HIGHEST OPTION,"1,348,000",0,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,10,Automatic Transmission,Other,600 - 700 HP,Gasoline,Left Hand Side,,White, Dubai,LP 610-4 Spyder,lamborghini,huracan,14/04/2022
Nissan Patrol Safari MT 2021 Gold,"150,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Gold, Abu Dhabi,Safari MT,nissan,patrol,05/05/2022
Inspected Car | 2013 Ford Edge Sport 3.7L | GCC Specifications | Ref#9215,"37,000",199575,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,Sport,ford,edge,18/03/2022
2020 Mercedes Benz GTR,"650,000",32000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,European Specs,700 - 800 HP,Gasoline,Left Hand Side,2020,White, Sharjah,S,mercedes-benz,gt,05/05/2022
Nissan Safari M/T 3 Doors Gcc 3 years local Dealer warranty,"145,000",0,Perfect inside and out,Perfect inside and out,Dealer,SUV,6,Manual Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,White, Dubai,Safari,nissan,patrol,09/12/2021
Toyota Previa 2.4L GOOD CONDITION ORIGINAL PAINT,"72,000",79000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,White, Dubai,Other,toyota,previa,30/04/2022
Great Ford Mustang V6 Full Option in Perfect Condition well maintained,"49,000",158000,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,North American Specs,Unknown,Gasoline,Left Hand Side,2015,Burgundy, Abu Dhabi,Standard V6,ford,mustang,12/05/2022
AED952/month | 2018 Nissan Kicks S 1.6L | GCC Specifications | Ref#11957,"51,900",133079,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,Less than 150 HP,Gasoline,Left Hand Side,2018,Red, Dubai,S,nissan,kicks,30/04/2022
"4,410 / month | 0% Down Payment | Camaro SS / Full PPF / Chevrolet Warranty  Service Pack","219,000",8800,Perfect inside and out,Perfect inside and out,Dealer,Coupe,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Red, Dubai,SS,chevrolet,camaro,23/11/2021
LAND CRUISER VXR 5.7 full option  white color,"245,000",75000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2018,White, Dubai,VXR TOP,toyota,land-cruiser,18/04/2022
CHEVROLET TAHOE 2021 Z71 - GCC - UNDER WARRANTY - EXCELLENT CONDITION,"240,000",18000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2021,White, Dubai,Z71,chevrolet,tahoe,02/11/2021
"Toyota Aurion 2013 - 3.5Ltr,  GCC , in excellent condition, single owner","40,000",115000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2013,Grey, Abu Dhabi,Other,toyota,aurion,13/05/2022
Nissan Tida,"13,500",170865,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,Unknown,Gasoline,Left Hand Side,2009,Gold, Dubai,SE,nissan,tiida,09/05/2022
LC 300 .. VX V 3.5 full option 2022,"369,000",0,Perfect inside and out,Perfect inside and out,Dealer,Wagon,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,,Black, Dubai,Other,toyota,land-cruiser,13/03/2022
FORD TAURUS SEL MODEL 2013 GCC SPECS FULL OPTION,"24,500",240000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2013,Silver, Dubai,SEL,ford,taurus,12/04/2022
HYUNDAI GENESIS MODEL 2014 - ZERO KM,"69,500",0,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,Other,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,Other,hyundai,genesis,11/04/2022
nissan armada,"115,500",40000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,500 - 600 HP,Gasoline,Left Hand Side,2019,Silver, Sharjah,SV,nissan,armada,14/02/2022
Rolls Royce Ghost EWB | 2019 - GCC - With Warranty - Service Contract | 6.6 - V12 Engine,"1,299,000",2430,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2019,White, Dubai,Extended Wheel Base,rolls-royce,ghost,16/02/2022
"2,610 P.M | 640i Convertible | 0% Downpayment | Low Mileage!","109,900",63000,Perfect inside and out,Perfect inside and out,Dealer,Soft Top Convertible,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Black, Dubai,640i,bmw,6-series,13/05/2022
AED6000/month | 2020 BMW 850i M Sport 4.4L | Full BMW Service History | GCC Specs | Ref#7144,"400,000",40391,Perfect inside and out,Perfect inside and out,Dealer,Sedan,8,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2020,White, Dubai,Other,bmw,8-series,27/02/2022
"BMW X6M Performance 2015 V8 4.4L GCC Specs, BMW Warranty + Service Package, Immaculate Condition","225,000",90000,Perfect inside and out,Perfect inside and out,Owner,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2015,Black, Dubai,X6M,bmw,x6,13/05/2022
2021 BRAND NEW MERCEDES BENZ GLC 200 COUPE - GCC - UNDER WARRANTY,"288,000",0,Perfect inside and out,Perfect inside and out,Dealer,Crossover,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2021,Black, Dubai,Other,mercedes-benz,glc,28/02/2022
Maserati Ghibli S 2014 GCC Specs For Sale (FSH / Accident Free / Single Owner),"77,000",110000,Perfect inside and out,Perfect inside and out,Owner,Sedan,6,Automatic Transmission,GCC Specs,300 - 400 HP,Gasoline,Left Hand Side,2014,Burgundy, Dubai,Ghibli S,maserati,ghibli,12/05/2022
chevrolet silverado,"129,000",21000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,White, Sharjah,1500 LT Z71,chevrolet,silverado,26/01/2022
"ASTON MARTIN DB9, 2015, GCC, FSH, IMMACULATE CONDITION","379,000",15000,Perfect inside and out,Perfect inside and out,Dealer,Coupe,12,Automatic Transmission,GCC Specs,500 - 600 HP,Gasoline,Left Hand Side,2015,Gold, Dubai,Standard,aston-martin,db9,01/03/2021
2016 TOYOTA RAV4,"50,000",42871,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Red, Dubai,Other,toyota,rav-4,30/04/2022
AED1082/month | 2016 Mazda CX-5 2.0L | GCC specifications | Ref#13360,"59,000",72773,Perfect inside and out,Perfect inside and out,Dealer,SUV,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2016,Blue, Abu Dhabi,Other,mazda,cx-5,02/05/2022
MERCEDES GLC300 2020 (low mileage),"149,000",29000,Perfect inside and out,Perfect inside and out,Owner,SUV,4,Automatic Transmission,North American Specs,200 - 300 HP,Gasoline,Left Hand Side,2020,Black, Dubai,GLC 300 4MATIC,mercedes-benz,glc,28/04/2022
ROLLS-ROYCE GHOST MODEL 2021,"1,890,000",2408,Perfect inside and out,Perfect inside and out,Dealer,Sedan,12,Automatic Transmission,GCC Specs,600 - 700 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Standard,rolls-royce,ghost,17/03/2022
ROLLS ROYCE GHOST,"325,000",80000,Perfect inside and out,Perfect inside and out,Owner,Sedan,12,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2011,Grey, Abu Dhabi,Standard,rolls-royce,ghost,13/05/2022
Porsche “Turbo S” Local Agency Al Nabooda Fully Loaded Top of the Line (Nardo Grey),"920,000",5350,Perfect inside and out,Perfect inside and out,Owner,Coupe,6,Automatic Transmission,GCC Specs,700 - 800 HP,Gasoline,Left Hand Side,2021,Grey, Dubai,Turbo S,porsche,carrera,13/05/2022
Porsche Cayenne GTS,"155,000",100000,Perfect inside and out,"Minor faults, all fixed",Owner,SUV,8,Automatic Transmission,European Specs,400 - 500 HP,Gasoline,Left Hand Side,2014,White, Dubai,GTS,porsche,cayenne,10/05/2022
Inspected Car | 2014 Mercedes-Benz E200 1.8L | Full Mercedes-Benz Service | GCC | Ref#11657,"55,000",147342,Perfect inside and out,Perfect inside and out,Dealer,Sedan,4,Automatic Transmission,GCC Specs,150 - 200 HP,Gasoline,Left Hand Side,2014,White, Dubai,E 200,mercedes-benz,e-class,12/04/2022
2016 TOYOTA HILUX GCC MONSTER DESIGN,"110,000",22000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2016,Black, Dubai,Double Cab GLX AWD P,toyota,hilux,18/01/2022
Nissan Navara | 2017 |  Double Cabin | Automatic | Full Service History | Well Maintained | Excellen,"42,000",170000,Perfect inside and out,Perfect inside and out,Dealer,Pick Up Truck,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2017,White, Dubai,Other,nissan,navara,09/05/2022
2021 Porsche 911 Carrera 4S GCC Specs Full KEYVANY body kit,"685,000",8500,Perfect inside and out,Perfect inside and out,Dealer,Coupe,6,Automatic Transmission,GCC Specs,400 - 500 HP,Gasoline,Left Hand Side,2021,Green, Dubai,Carrera 4S,porsche,carrera,11/03/2022
Mercedes Benz G500 Full Option 2005 مرسيدس بينز جي 500  ‏‎‏,"105,000",191000,Perfect inside and out,Perfect inside and out,Dealer,SUV,8,Automatic Transmission,Japanese Specs,200 - 300 HP,Gasoline,Left Hand Side,2005,White, Dubai,G 500,mercedes-benz,g-class,04/01/2022
BMW 530I M PACKAGE MASTER CLASS NIGHT VISION UNDER WARRANTY TELL 27/9/2024 AND SERVICE CONTRACT GCC,"169,000",71000,Perfect inside and out,Perfect inside and out,Owner,Sedan,4,Automatic Transmission,GCC Specs,200 - 300 HP,Gasoline,Left Hand Side,2018,Blue, Dubai,530i M-Kit,bmw,5-series,11/05/2022
